Motor RPM,Motor Temp (°C),Motor Current (A),Torque (Nm),Motor Status
3577.87,98.07,7.66,51.96,Good
6166.63,78.57,20.14,24.81,Good
2215.99,36.97,81.38,91.31,Good
1077.35,31.62,35.02,121.57,Good
2673.14,39.21,78.48,54.04,Good
1709.16,66.94,127.5,35.62,Good
7472.73,113.99,111.71,304.69,Faulty
6560.9,87.37,50.08,74.07,Good
5250.53,102.16,72.05,366.43,Faulty
7035.95,71.97,124.74,153.52,Good
6527.54,62.55,172.87,271.54,Good
1899.28,39.76,151.88,97.91,Good
7194.19,108.83,112.91,103.73,Faulty
4545.07,100.48,75.65,234.14,Faulty
6555.8,45.13,76.18,228.65,Good
7220.68,76.1,176.49,309.8,Good
2885.03,73.86,12.65,305.55,Good
1325.39,86.26,197.66,271.57,Faulty
2209.51,115.16,134.55,185.16,Faulty
3703.31,82.18,137.82,357.35,Good
6635.11,78.62,12.41,252.81,Good
6955.48,34.53,123.08,396.18,Good
552.14,35.66,99.53,329.55,Good
4330.6,46.86,25.63,27.28,Good
3630.58,32.92,59.19,135.03,Good
2165.81,96.9,178.61,233.03,Good
1398.99,95.1,112.25,291.37,Good
3032.11,42.25,85.62,224.63,Good
7571.82,105.25,19.17,316.59,Faulty
2924.02,43.93,144.25,120.24,Good
4390.93,57.11,142.06,81.73,Good
5772.64,52.41,124.74,31.03,Good
3227.22,63.51,104.5,233.59,Good
7788.37,52.92,89.59,278.55,Good
7718.35,74.01,120.69,137.2,Good
2388.37,66.67,50.51,249.3,Good
4229.36,118.79,188.55,30.34,Faulty
2756.59,35.03,119.81,48.72,Good
2636.3,42.8,65.68,283.68,Good
776.65,34.75,92.69,153.55,Good
5071.73,86.33,162.11,271.82,Good
4270.09,34.91,36.52,334.37,Good
886.09,105.28,62.1,342.52,Faulty
2589.85,76.07,137.5,77.15,Good
7311.99,77.43,66.52,199.65,Good
2296.71,80.54,159.54,296.23,Good
1586.71,45.37,30.44,311.85,Good
4170.9,47.79,153.72,316.02,Good
7892.38,58.69,18.33,98.99,Good
2315.41,83.41,7.46,85.09,Good
5541.02,48.91,180.15,240.1,Faulty
6212.15,40.47,118.36,299.02,Good
2282.28,117.31,73.61,134.46,Faulty
5961.62,31.98,50.36,50.84,Good
3258.37,102.24,125.29,289.53,Faulty
5242.29,100.92,104.26,126.88,Faulty
5251.47,56.75,198.36,74.88,Faulty
4518.31,42.21,196.73,67.61,Faulty
1177.17,43.11,128.83,132.81,Good
6764.77,92.77,91.36,241.14,Good
2905.85,87.85,100.77,149.78,Good
1898.89,100.45,138.08,18.06,Faulty
805.81,114.37,24.81,47.79,Faulty
4931.7,92.27,69.03,123.3,Good
5581.73,44.03,19.68,267.28,Good
624.41,51.91,19.31,48.42,Good
4340.7,105.8,43.19,228.66,Faulty
2198.72,48.84,99.62,56.76,Good
5338.8,36.53,158.03,92.53,Good
1807.75,93.3,99.67,77.15,Good
5682.03,66.23,70.42,36.22,Good
3400.52,112.8,21.06,271.82,Faulty
7525.47,88.52,112.31,190.73,Good
1531.41,38.14,57.9,334.11,Good
3058.0,115.31,124.91,48.57,Faulty
1351.05,53.27,195.55,66.45,Faulty
7435.2,60.35,26.71,129.52,Good
7080.05,66.2,46.36,308.69,Good
2434.56,34.61,97.25,129.25,Good
5449.88,74.69,193.88,169.28,Faulty
6629.17,41.1,155.5,127.63,Good
4664.01,66.09,180.15,41.29,Faulty
4472.38,61.56,70.07,376.38,Good
2313.89,99.56,198.45,223.93,Faulty
1198.27,102.29,25.05,317.25,Faulty
7229.12,43.81,15.33,266.76,Good
7253.14,62.99,171.84,210.56,Good
5248.26,63.6,185.82,44.97,Faulty
3042.72,43.63,22.66,260.67,Good
3119.07,101.86,27.12,70.59,Faulty
5944.67,93.65,11.47,171.61,Good
7228.33,47.13,25.38,255.35,Good
7153.15,63.0,45.84,315.07,Good
6349.07,39.52,194.16,277.17,Faulty
5315.24,86.54,135.23,271.9,Good
1131.05,40.92,156.82,68.13,Good
1712.22,118.73,156.35,144.99,Faulty
7239.16,100.26,109.34,26.74,Faulty
5048.22,65.12,160.51,290.6,Good
568.98,82.07,121.18,381.51,Good
1261.04,112.02,66.34,113.0,Faulty
5476.26,79.87,114.42,44.2,Good
537.96,45.7,109.03,195.47,Good
1706.06,64.08,165.57,344.11,Good
4615.5,105.88,196.44,225.27,Faulty
5689.21,87.98,85.15,28.24,Good
5389.71,88.57,153.86,389.97,Good
2182.02,108.01,24.45,333.17,Faulty
5841.34,110.46,156.48,61.32,Faulty
2279.37,112.78,77.43,369.5,Faulty
2940.5,38.54,12.68,185.77,Good
6098.69,78.97,75.83,155.04,Good
5372.25,96.65,124.08,189.81,Good
6869.18,98.12,28.25,335.48,Good
5432.1,84.6,185.19,267.2,Faulty
4762.31,45.01,20.15,33.11,Good
1202.56,101.77,186.35,383.47,Faulty
3257.87,94.81,142.89,67.64,Good
2489.02,37.75,69.29,300.77,Good
2329.92,71.74,81.2,258.09,Good
7797.58,45.66,149.46,83.14,Good
3448.23,60.37,122.29,76.59,Good
7190.35,31.63,135.97,349.43,Good
5233.54,66.03,80.89,173.68,Good
6461.08,79.49,100.12,265.28,Good
4269.78,85.76,198.02,206.59,Faulty
4826.78,89.71,46.71,293.67,Good
4193.88,105.27,86.48,196.9,Faulty
1964.32,49.39,61.91,122.08,Good
5918.39,40.84,154.2,151.72,Good
2605.79,106.64,153.98,345.04,Faulty
682.37,44.1,62.03,192.53,Good
5341.04,117.73,20.87,93.25,Faulty
1828.33,105.83,7.23,374.5,Faulty
7553.44,75.08,88.35,320.67,Good
7654.46,118.33,85.02,31.71,Faulty
7361.48,38.76,197.74,399.59,Faulty
3276.19,57.28,96.61,281.02,Good
615.92,87.44,55.0,72.5,Good
7462.39,61.5,178.79,102.5,Good
3711.38,113.55,100.76,280.05,Faulty
7749.91,35.91,121.84,314.11,Good
7727.15,79.45,23.66,103.22,Good
6897.57,83.18,79.67,110.22,Good
2708.37,88.75,189.12,129.78,Faulty
3388.23,53.01,119.95,243.23,Good
6883.53,62.81,72.18,77.01,Good
2876.92,105.93,127.01,50.65,Faulty
1771.2,47.54,182.53,274.76,Faulty
4676.01,104.42,58.43,313.85,Faulty
7521.16,80.64,103.5,205.36,Good
5720.22,98.6,191.94,151.89,Faulty
4775.46,94.22,38.62,178.5,Good
1228.82,48.68,145.33,161.48,Good
5112.55,81.19,124.82,384.39,Good
7925.4,108.1,137.54,309.56,Faulty
1550.63,68.89,73.49,91.15,Good
4387.47,116.99,66.21,159.83,Faulty
7080.3,70.7,138.42,222.16,Good
6055.76,42.85,47.03,249.06,Good
5727.62,65.05,86.83,192.59,Good
5768.63,115.65,41.69,325.95,Faulty
3196.18,58.77,6.62,309.37,Good
2701.94,108.13,194.16,207.01,Faulty
6570.21,109.31,89.18,343.23,Faulty
6575.85,61.52,194.02,302.92,Faulty
7003.04,37.49,32.36,313.65,Good
7349.3,95.21,119.54,383.0,Good
4335.07,58.04,44.19,113.92,Good
4261.37,100.46,159.06,114.38,Faulty
6487.21,69.84,157.82,356.69,Good
5374.73,73.67,26.96,311.17,Good
5764.75,100.01,182.85,371.35,Faulty
6468.45,64.41,42.95,34.62,Good
7175.04,69.88,124.53,254.83,Good
3034.96,63.86,197.2,66.41,Faulty
3316.87,63.06,177.07,206.52,Good
1204.86,77.34,191.53,70.74,Faulty
4837.1,102.79,71.81,59.95,Faulty
769.57,62.56,25.59,14.75,Good
3991.99,77.18,41.73,255.79,Good
4569.83,90.37,102.6,150.02,Good
2649.06,54.25,159.68,51.02,Good
4931.25,54.98,34.28,135.91,Good
728.75,114.01,133.65,75.89,Faulty
780.11,95.12,68.1,377.26,Good
6669.5,81.95,71.53,134.8,Good
3201.43,88.29,134.07,140.24,Good
1452.95,32.64,96.06,337.54,Good
4416.82,85.63,163.35,262.62,Good
6274.95,75.86,35.4,286.97,Good
2118.66,79.12,159.04,258.04,Good
5171.68,62.35,17.53,379.02,Good
1140.11,37.33,42.84,90.73,Good
887.61,47.4,132.95,395.73,Good
4485.16,115.57,171.71,334.07,Faulty
4554.76,66.78,54.27,239.7,Good
5280.72,72.0,68.8,268.32,Good
5945.69,34.74,109.74,263.04,Good
7818.89,33.38,46.26,32.77,Good
4372.25,94.55,163.18,95.03,Good
2922.17,78.43,155.86,384.97,Good
6463.9,75.78,33.33,218.4,Good
2531.24,51.88,95.45,157.56,Good
3792.29,97.03,156.09,307.2,Good
1088.42,45.14,70.78,214.56,Good
690.13,47.09,128.46,15.13,Good
7719.86,71.46,14.79,297.13,Good
6769.85,55.77,123.69,295.56,Good
5719.81,52.27,34.77,74.41,Good
3567.15,88.07,166.96,383.1,Good
1799.71,88.59,74.31,97.32,Good
1673.28,104.21,59.9,188.52,Faulty
2376.82,67.59,168.97,54.75,Good
4619.2,36.58,14.78,245.28,Good
5859.47,54.63,82.34,156.43,Good
5451.48,118.2,77.15,147.74,Faulty
2599.5,83.66,60.54,332.52,Good
7661.49,93.88,182.79,13.73,Faulty
6034.23,30.66,151.43,321.2,Good
4657.66,76.64,17.47,232.86,Good
5087.91,33.38,144.36,394.58,Good
3647.0,81.23,107.82,239.88,Good
2357.98,112.87,180.67,31.6,Faulty
3169.8,117.16,66.02,29.75,Faulty
6183.85,78.65,116.96,354.43,Good
607.95,71.24,102.65,338.07,Good
1370.54,115.05,100.46,144.9,Faulty
845.02,90.62,93.94,251.03,Good
805.47,35.84,45.1,200.94,Good
6915.95,71.92,152.36,387.19,Good
5777.43,51.62,93.01,380.48,Good
4056.3,72.28,191.91,393.7,Faulty
1233.76,70.99,55.86,347.92,Good
4187.12,82.39,138.14,364.73,Good
4051.04,62.11,188.44,94.74,Faulty
1799.01,44.78,134.37,334.09,Good
3753.89,75.33,174.9,286.45,Good
3488.79,104.72,166.36,385.49,Faulty
5118.88,89.76,75.22,232.79,Good
5263.2,60.45,122.02,43.22,Good
839.78,114.2,35.47,242.99,Faulty
3309.59,112.1,109.43,277.77,Faulty
5193.95,48.84,49.93,95.93,Good
4273.52,33.55,150.03,163.7,Good
6923.67,96.72,107.97,243.42,Good
5440.2,104.48,85.19,155.9,Faulty
1722.01,117.11,57.42,156.23,Faulty
1029.27,110.09,199.75,61.9,Faulty
5318.14,84.05,18.98,376.89,Good
698.83,77.7,13.49,302.69,Good
4893.32,32.51,47.37,10.48,Good
7551.73,52.2,194.36,308.59,Faulty
4816.06,71.37,195.95,298.52,Faulty
3411.27,86.57,132.71,13.8,Good
5324.66,80.15,176.62,154.15,Good
3936.9,96.84,46.72,246.63,Good
4592.13,55.18,194.55,186.57,Faulty
7560.99,80.85,32.84,313.41,Good
3395.77,37.93,24.72,175.93,Good
7708.93,67.23,26.88,70.01,Good
7290.13,97.51,116.76,390.8,Good
1968.43,92.41,157.29,104.4,Good
1020.21,119.16,76.5,289.9,Faulty
1255.84,55.01,195.69,65.83,Faulty
636.66,74.84,89.71,138.31,Good
1208.32,59.66,34.34,182.39,Good
5622.55,69.65,95.86,84.97,Good
1033.91,107.13,137.41,185.48,Faulty
2892.32,91.58,167.28,71.29,Good
6836.56,109.42,94.46,228.01,Faulty
674.54,48.32,120.75,268.85,Good
6608.51,108.6,57.13,34.35,Faulty
2613.91,35.38,130.95,349.74,Good
1386.24,109.97,197.26,82.2,Faulty
5725.53,59.62,14.57,97.89,Good
5217.07,58.31,177.87,267.93,Good
7081.04,76.09,114.65,192.81,Good
6013.03,114.66,54.16,204.76,Faulty
6526.11,34.3,191.2,59.98,Faulty
2615.26,61.7,99.25,324.24,Good
1830.8,107.09,69.68,250.65,Faulty
6129.61,65.64,40.39,62.8,Good
6551.26,47.92,52.67,155.86,Good
7928.79,68.23,167.41,326.06,Good
3594.63,64.7,124.81,231.66,Good
3290.14,112.39,183.08,52.37,Faulty
6323.1,98.57,50.23,155.38,Good
3056.03,75.46,28.62,104.65,Good
7480.68,118.95,6.19,211.81,Faulty
6938.1,71.87,104.03,338.91,Good
3717.46,35.24,199.67,180.14,Faulty
6131.53,53.6,140.52,179.0,Good
6159.07,69.25,65.14,363.09,Good
1273.43,44.12,175.99,234.71,Good
7269.15,115.28,157.44,230.81,Faulty
4289.39,99.02,8.01,112.14,Good
6698.43,54.15,164.29,247.01,Good
2900.37,83.17,63.6,234.61,Good
7216.42,94.93,34.19,164.77,Good
3419.01,114.72,49.13,396.37,Faulty
581.28,109.35,96.37,353.94,Faulty
7290.36,76.37,87.85,302.34,Good
1184.65,99.72,61.33,219.56,Good
2894.85,80.59,38.58,190.2,Good
7625.46,79.74,153.64,82.11,Good
7629.55,40.33,198.07,129.24,Faulty
4800.78,41.35,156.67,311.84,Good
5238.78,77.66,62.71,186.96,Good
3863.34,54.2,52.74,354.09,Good
2699.08,31.89,47.44,67.69,Good
2964.98,95.06,31.66,208.26,Good
5543.89,32.92,112.51,262.32,Good
6142.81,83.57,123.05,211.57,Good
6436.84,78.53,142.57,356.8,Good
6422.14,117.19,137.64,395.93,Faulty
1184.05,73.58,62.0,55.18,Good
4208.15,35.72,69.41,60.68,Good
931.69,79.65,137.9,60.83,Good
4621.47,105.7,73.14,275.66,Faulty
3811.48,119.72,46.46,155.34,Faulty
7157.78,68.73,78.0,295.99,Good
3131.86,58.83,58.06,168.13,Good
1378.0,111.6,22.22,254.77,Faulty
1572.44,47.21,166.88,310.24,Good
6211.33,85.39,171.36,223.8,Good
5136.64,66.51,47.85,220.41,Good
1258.42,33.7,17.63,44.41,Good
1130.8,61.26,149.07,170.2,Good
5757.27,53.87,46.25,222.85,Good
1045.72,91.75,81.72,190.17,Good
6663.95,115.39,17.51,361.3,Faulty
5796.82,54.12,49.12,363.55,Good
1110.12,103.03,159.62,330.55,Faulty
1136.28,34.98,161.86,156.37,Good
7899.8,78.43,45.38,289.75,Good
3307.03,36.35,70.5,164.16,Good
3279.82,114.06,31.18,100.71,Faulty
6596.0,98.97,19.46,143.73,Good
7604.36,89.22,198.47,37.68,Faulty
7895.01,104.15,132.84,139.39,Faulty
6150.34,88.28,110.71,189.69,Good
3321.95,117.2,154.27,382.64,Faulty
1126.26,94.26,168.82,132.23,Good
6328.6,113.22,162.31,361.96,Faulty
4688.03,76.54,8.23,99.25,Good
3681.67,40.54,41.43,84.48,Good
7297.66,77.54,132.71,212.41,Good
1333.98,41.42,78.27,272.28,Good
4194.69,83.32,196.58,27.29,Faulty
585.15,73.42,134.75,96.22,Good
4014.95,86.03,191.53,187.72,Faulty
922.27,30.9,44.28,139.09,Good
1391.13,47.54,173.47,287.92,Good
1381.45,74.22,67.66,209.35,Good
5369.08,115.55,197.97,72.54,Faulty
6095.34,64.52,35.75,358.84,Good
4875.27,68.19,105.69,124.23,Good
7716.29,94.32,159.6,295.14,Good
3311.53,84.34,89.37,314.17,Good
2642.84,56.9,96.28,385.63,Good
7014.49,66.97,197.34,204.42,Faulty
2176.97,49.59,87.94,250.18,Good
7724.17,116.94,122.79,140.6,Faulty
591.16,41.76,15.64,274.49,Good
7774.09,63.47,169.23,190.72,Good
823.7,32.33,131.39,180.68,Good
7183.57,49.96,83.78,343.63,Good
4457.76,100.24,8.15,29.57,Faulty
7947.24,48.11,120.38,353.97,Good
1053.47,37.21,7.47,342.31,Good
4653.91,72.7,5.23,207.48,Good
7769.77,30.9,125.14,201.18,Good
4423.23,37.63,41.86,151.1,Good
5220.49,102.69,42.42,397.73,Faulty
5718.12,99.43,132.39,53.36,Good
3909.06,112.36,15.47,240.18,Faulty
5206.69,106.91,66.11,275.86,Faulty
4882.36,91.49,34.14,374.39,Good
7258.69,34.71,118.13,314.28,Good
840.85,100.46,134.04,261.1,Faulty
2607.22,106.1,145.62,55.56,Faulty
7628.09,101.92,54.77,155.76,Faulty
7176.98,75.76,22.4,64.15,Good
3917.43,50.96,20.34,353.67,Good
5150.99,106.08,88.1,302.35,Faulty
2580.36,95.44,189.44,305.44,Faulty
1910.91,118.27,47.46,264.38,Faulty
3977.74,44.01,55.06,207.75,Good
3150.14,50.31,24.67,68.49,Good
4877.42,49.06,123.09,138.58,Good
1083.01,101.33,137.58,63.4,Faulty
7807.96,46.82,130.37,292.72,Good
7896.58,36.0,172.92,72.49,Good
5736.21,119.87,99.85,283.82,Faulty
4520.72,32.23,31.22,279.98,Good
2821.46,105.17,61.43,189.13,Faulty
6603.46,62.88,134.17,62.74,Good
5635.48,105.75,124.56,132.77,Faulty
1719.63,79.92,108.55,134.84,Good
7331.95,111.15,138.18,283.15,Faulty
6669.03,113.36,129.29,54.36,Faulty
7623.5,30.82,176.86,333.34,Good
5942.9,36.79,119.27,306.79,Good
5100.61,52.53,156.83,82.66,Good
3636.82,90.24,53.5,290.47,Good
7495.46,109.94,137.25,270.72,Faulty
6995.48,71.39,180.93,301.77,Faulty
839.14,84.63,80.22,83.68,Good
697.75,46.96,156.93,71.46,Good
3323.48,102.45,146.33,102.23,Faulty
6579.15,117.06,16.61,152.69,Faulty
7904.57,54.17,118.39,319.53,Good
1628.13,74.53,30.39,297.79,Good
4955.98,37.75,193.63,370.93,Faulty
3356.68,80.32,163.22,32.87,Good
7774.36,75.25,26.4,14.51,Good
6815.89,43.0,28.74,282.66,Good
6787.47,69.79,120.92,118.92,Good
4015.2,60.07,72.25,140.29,Good
3611.15,76.96,11.81,223.25,Good
2550.55,82.71,110.62,49.94,Good
922.82,30.76,80.63,260.65,Good
6985.42,98.49,24.71,136.81,Good
6596.76,94.17,161.37,256.76,Good
7997.88,62.97,183.44,335.26,Faulty
7974.78,34.76,152.54,76.73,Good
4665.74,97.94,165.37,373.04,Good
6267.41,115.97,47.22,216.97,Faulty
7585.74,51.61,56.4,369.94,Good
6872.36,59.12,45.66,91.01,Good
2355.11,46.54,154.19,245.78,Good
3879.08,81.92,189.84,167.52,Faulty
1468.7,43.94,144.78,311.95,Good
7655.38,62.06,176.89,246.3,Good
5046.31,92.73,129.55,202.86,Good
2214.82,80.41,80.59,366.06,Good
5537.76,64.78,88.02,157.08,Good
5135.96,67.82,19.69,95.79,Good
3186.22,80.59,11.13,247.16,Good
1351.68,30.53,140.62,253.37,Good
5536.8,37.07,90.49,181.25,Good
4402.31,109.31,112.68,199.78,Faulty
6292.39,37.01,113.74,384.23,Good
4401.23,93.61,59.09,295.75,Good
6891.36,112.8,97.8,53.13,Faulty
4639.3,54.36,96.8,92.73,Good
4707.03,63.34,80.74,390.47,Good
7074.9,81.2,165.03,293.32,Good
3526.12,109.35,92.98,366.87,Faulty
1505.11,114.77,122.71,128.51,Faulty
715.87,96.56,179.63,299.33,Good
6163.53,37.8,173.92,288.46,Good
5152.32,90.22,178.63,124.93,Good
5780.6,66.93,57.65,224.82,Good
2097.23,72.36,11.82,254.69,Good
1522.79,34.42,55.91,197.64,Good
609.08,47.2,59.35,332.6,Good
3129.41,101.15,182.33,334.82,Faulty
4924.38,70.86,131.6,341.73,Good
3441.83,57.15,20.93,323.34,Good
3781.06,64.56,31.4,200.35,Good
7281.19,106.9,35.36,158.76,Faulty
3111.92,97.41,127.93,334.24,Good
4354.92,54.51,148.41,201.18,Good
6377.4,40.58,172.63,106.08,Good
3474.07,52.68,188.42,207.86,Faulty
5165.65,112.87,44.33,65.32,Faulty
6967.73,82.34,65.41,279.74,Good
7621.4,78.01,51.86,141.01,Good
1603.05,83.68,74.96,111.66,Good
7449.41,62.94,183.36,383.04,Faulty
4190.87,102.64,117.15,312.98,Faulty
2436.83,77.1,148.95,316.96,Good
3943.52,40.51,100.57,253.25,Good
7850.24,41.62,10.63,337.28,Good
4194.64,78.32,17.52,306.07,Good
2965.64,114.29,109.89,243.52,Faulty
5250.51,57.75,145.16,384.84,Good
2301.09,108.26,46.99,84.72,Faulty
1068.97,98.77,145.77,377.92,Good
1466.6,52.3,163.08,166.56,Good
1460.34,33.27,85.32,216.08,Good
1639.27,39.17,150.55,57.87,Good
1541.2,95.56,83.79,220.64,Good
5306.56,47.97,137.28,248.37,Good
1864.1,63.41,153.98,399.1,Good
3092.5,75.15,198.43,390.33,Faulty
7225.91,95.29,72.35,386.89,Good
4054.71,40.19,85.15,145.87,Good
5506.68,66.57,37.3,396.59,Good
1792.4,73.66,44.79,187.64,Good
1942.17,78.67,140.21,342.22,Good
806.51,103.65,183.82,94.36,Faulty
1767.01,45.45,81.95,207.27,Good
2589.43,102.7,40.07,386.74,Faulty
1827.58,92.36,60.59,379.34,Good
1165.27,80.03,93.74,276.66,Good
1404.77,92.96,61.68,321.15,Good
3955.84,67.08,50.55,78.81,Good
2047.5,42.46,148.52,291.45,Good
3232.02,89.92,6.53,251.04,Good
4275.63,77.22,110.15,45.71,Good
5677.96,87.54,159.78,54.13,Good
794.84,60.42,56.91,52.29,Good
6495.58,111.62,122.64,292.5,Faulty
5209.25,82.86,135.44,65.27,Good
1113.19,37.69,132.73,192.42,Good
7051.84,70.48,91.94,149.22,Good
7406.54,98.07,72.58,224.7,Good
958.08,101.47,168.01,285.53,Faulty
2576.58,74.51,152.9,277.04,Good
6546.51,110.53,67.64,211.05,Faulty
6111.95,54.09,25.09,191.09,Good
1883.91,66.95,19.0,165.15,Good
2070.12,110.87,23.38,346.14,Faulty
3278.54,110.66,118.66,139.03,Faulty
4133.92,91.71,15.07,111.15,Good
5136.91,107.31,70.7,299.89,Faulty
3266.85,37.99,151.87,150.31,Good
3969.01,107.85,62.4,340.33,Faulty
6106.03,58.86,153.85,137.88,Good
775.12,46.05,150.37,283.76,Good
2393.28,51.54,52.94,27.59,Good
5850.12,67.62,147.12,160.37,Good
7214.05,52.61,150.82,143.86,Good
4337.58,58.85,82.5,328.5,Good
4490.85,42.15,46.03,387.15,Good
1303.79,56.66,106.65,189.74,Good
3855.59,81.51,184.67,331.69,Faulty
4494.63,69.77,129.73,282.88,Good
2318.53,61.2,38.72,387.28,Good
2519.32,97.18,138.14,326.33,Good
3329.63,110.42,88.3,40.22,Faulty
650.53,98.11,120.35,288.18,Good
2915.59,59.88,148.14,218.84,Good
2085.86,97.0,105.41,16.41,Good
2956.23,43.68,163.73,108.01,Good
1398.22,41.73,145.82,369.48,Good
7178.95,61.11,124.94,371.16,Good
4951.94,102.69,34.4,321.55,Faulty
5593.27,52.17,168.01,392.89,Good
6418.78,35.69,187.5,324.55,Faulty
4238.32,41.85,31.71,13.98,Good
1151.9,107.29,100.21,122.26,Faulty
4528.3,87.04,55.48,21.94,Good
4901.31,52.79,152.13,46.7,Good
6090.8,79.98,145.72,95.35,Good
3737.45,77.48,32.47,206.39,Good
1456.85,88.99,176.02,340.54,Good
2628.32,50.99,40.29,346.17,Good
3223.12,107.8,160.47,250.32,Faulty
5344.38,57.84,94.11,371.99,Good
4780.84,92.47,69.01,205.02,Good
3170.73,31.45,35.86,356.72,Good
7898.86,63.54,37.68,187.09,Good
5043.31,61.65,134.07,118.12,Good
2279.2,78.91,112.33,367.4,Good
1263.37,36.55,28.81,161.29,Good
1646.44,101.11,26.98,206.33,Faulty
2344.68,49.6,19.1,138.26,Good
1705.11,90.93,150.03,268.51,Good
1899.25,102.29,143.82,398.06,Faulty
2638.21,80.57,16.39,19.95,Good
1800.3,96.68,114.25,360.94,Good
7225.74,89.57,21.51,11.53,Good
1101.75,62.0,181.23,152.05,Faulty
4433.84,102.8,181.89,75.76,Faulty
3577.98,56.52,141.16,305.36,Good
7867.84,81.41,185.61,29.74,Faulty
1340.29,97.09,163.23,225.86,Good
3483.92,64.11,166.57,125.02,Good
