Speed (km/h),Voltage Fluctuation (V),Battery Discharge Rate (C),Ambient Temp (°C),SoC (%),Motor Power (kW),Vehicle Status
121.12,0.64,0.61,7.66,51.7,36.68,Good Condition
134.41,0.89,0.86,8.94,45.3,51.45,Good Condition
47.7,0.59,0.19,-0.33,76.37,11.25,Not Good
16.51,0.31,0.0,8.98,97.97,0.0,Good Condition
34.19,0.66,0.23,11.06,90.85,13.72,Good Condition
64.07,0.51,0.44,43.44,72.17,26.43,Not Good
122.7,0.54,0.53,28.43,53.23,31.85,Good Condition
129.11,0.61,0.67,16.3,49.14,40.35,Good Condition
1.04,0.25,0.0,44.4,96.96,0.0,Not Good
76.61,0.5,0.0,2.66,66.98,0.0,Good Condition
62.61,0.64,0.32,18.8,74.87,19.19,Good Condition
33.32,0.37,0.24,27.35,85.87,14.15,Good Condition
17.98,0.54,0.11,-2.22,90.72,6.47,Not Good
50.64,0.39,0.0,30.85,82.82,0.0,Good Condition
141.44,0.64,0.7,-0.01,43.24,42.19,Not Good
48.48,0.41,0.0,2.01,82.16,0.0,Good Condition
77.82,0.69,0.6,2.98,65.77,36.01,Good Condition
105.45,0.39,0.35,41.44,58.15,21.27,Not Good
54.54,0.52,0.45,29.16,76.36,27.12,Good Condition
145.77,1.09,0.95,27.77,41.96,56.84,Good Condition
144.37,0.78,0.63,22.77,45.06,37.83,Good Condition
37.77,0.14,0.0,9.64,87.58,0.0,Good Condition
74.59,0.46,0.41,26.04,68.71,24.71,Good Condition
45.13,0.43,0.05,15.51,83.89,3.16,Good Condition
42.73,0.67,0.2,2.27,87.32,11.89,Good Condition
5.53,0.39,0.0,29.48,99.04,0.0,Good Condition
91.43,0.29,0.15,1.48,59.91,9.26,Good Condition
75.4,0.12,0.0,4.53,71.64,0.0,Good Condition
7.72,0.16,0.06,35.88,92.96,3.66,Good Condition
41.8,0.14,0.08,28.01,87.0,4.97,Good Condition
136.24,0.85,0.64,26.55,45.67,38.16,Good Condition
35.93,0.54,0.26,15.91,84.48,15.79,Good Condition
21.73,0.6,0.28,14.81,86.88,16.56,Good Condition
73.42,0.61,0.3,29.51,69.44,18.08,Good Condition
147.85,0.82,0.75,32.0,44.89,44.78,Good Condition
36.31,0.37,0.23,20.51,80.69,13.94,Good Condition
100.82,0.59,0.28,43.46,59.42,16.87,Not Good
114.24,0.74,0.63,42.78,58.61,37.6,Not Good
35.65,0.32,0.24,15.62,84.69,14.26,Good Condition
109.23,0.79,0.67,36.03,55.59,40.31,Good Condition
55.17,0.14,0.0,22.16,78.72,0.0,Good Condition
94.85,0.35,0.34,20.59,61.69,20.67,Good Condition
95.03,0.71,0.33,-2.25,58.67,19.57,Not Good
80.37,0.79,0.4,23.7,63.04,24.19,Good Condition
13.54,0.22,0.13,40.03,95.68,7.54,Not Good
125.3,0.85,0.91,34.01,54.09,54.48,Good Condition
48.12,0.48,0.13,34.32,76.82,7.58,Good Condition
27.98,0.13,0.03,3.0,85.92,1.56,Good Condition
6.12,0.38,0.21,12.92,96.26,12.55,Good Condition
88.63,0.47,0.48,6.66,67.63,29.05,Good Condition
101.63,0.76,0.72,10.8,57.04,43.41,Good Condition
2.49,0.45,0.05,23.98,100.0,3.25,Good Condition
76.81,0.56,0.17,13.24,64.82,10.39,Good Condition
33.97,0.1,0.0,23.03,90.82,0.0,Good Condition
96.78,0.37,0.22,16.93,61.9,13.47,Good Condition
26.15,0.26,0.21,9.33,91.13,12.65,Good Condition
103.64,0.69,0.72,-0.23,57.22,43.35,Not Good
58.01,1.01,0.57,39.59,79.62,34.18,Good Condition
140.51,1.13,0.9,-4.43,40.46,53.77,Not Good
20.63,0.51,0.27,-4.92,87.24,16.16,Not Good
51.16,0.5,0.13,36.34,78.49,7.69,Good Condition
17.02,0.42,0.0,44.84,96.73,0.0,Not Good
138.7,1.2,0.89,31.36,47.07,53.14,Good Condition
131.6,0.7,0.77,-4.24,47.53,46.08,Not Good
38.69,0.25,0.18,6.33,85.24,10.72,Good Condition
99.0,0.83,0.56,43.59,56.7,33.65,Not Good
122.58,0.81,0.7,35.43,54.37,41.72,Good Condition
83.28,1.05,0.62,23.34,69.56,37.04,Good Condition
79.45,0.87,0.6,6.84,69.79,35.82,Good Condition
36.28,0.69,0.24,-4.28,85.15,14.37,Not Good
13.97,0.27,0.19,-3.96,99.06,11.3,Not Good
134.58,1.15,0.8,25.6,49.96,48.19,Good Condition
135.06,0.74,0.64,-3.91,47.42,38.62,Not Good
94.97,1.03,0.6,44.68,60.73,35.9,Not Good
50.85,0.08,0.0,4.17,80.84,0.0,Good Condition
52.38,0.62,0.41,30.54,79.8,24.41,Good Condition
108.89,0.72,0.36,2.75,55.39,21.44,Good Condition
134.57,0.9,0.77,22.0,44.24,45.9,Good Condition
133.06,0.74,0.57,-0.97,45.84,34.02,Not Good
116.98,1.12,0.7,33.34,53.95,41.92,Good Condition
96.3,0.64,0.47,24.25,60.76,28.47,Good Condition
12.62,0.3,0.0,-0.69,92.59,0.0,Not Good
24.24,0.17,0.16,37.43,92.91,9.71,Good Condition
134.78,0.98,0.62,22.35,46.4,37.35,Good Condition
90.96,0.86,0.6,41.08,59.29,35.72,Not Good
1.38,0.2,0.0,40.83,98.13,0.19,Not Good
15.22,0.11,0.12,41.03,97.76,7.1,Not Good
99.53,0.6,0.34,-1.11,62.74,20.4,Not Good
0.76,0.01,0.0,1.05,97.93,0.0,Good Condition
24.12,0.01,0.01,44.39,94.73,0.88,Not Good
82.31,0.79,0.54,19.38,62.84,32.43,Good Condition
103.78,0.82,0.8,6.91,63.1,48.29,Good Condition
97.79,0.42,0.35,33.48,58.34,21.29,Good Condition
33.64,0.61,0.32,8.21,81.63,18.92,Good Condition
106.83,0.19,0.18,31.36,56.61,10.93,Good Condition
35.59,0.16,0.0,36.86,84.35,0.0,Good Condition
48.81,0.12,0.05,34.21,80.87,3.16,Good Condition
111.97,0.61,0.35,8.7,58.18,21.0,Good Condition
97.44,0.53,0.22,15.08,64.45,13.38,Good Condition
127.38,1.03,0.74,15.66,48.06,44.43,Good Condition
98.64,0.54,0.46,19.56,59.84,27.51,Good Condition
85.25,0.47,0.48,3.37,62.38,28.68,Good Condition
14.05,0.19,0.16,17.62,89.85,9.77,Good Condition
55.16,0.47,0.29,20.54,79.35,17.42,Good Condition
39.78,0.72,0.28,21.59,79.73,16.55,Good Condition
36.6,0.23,0.14,36.0,87.7,8.33,Good Condition
145.95,0.66,0.59,20.87,42.01,35.58,Good Condition
58.96,0.45,0.44,6.54,73.4,26.57,Good Condition
133.81,0.86,0.61,28.16,46.87,36.86,Good Condition
94.67,0.62,0.31,34.87,58.96,18.87,Good Condition
119.22,0.85,0.59,10.97,51.7,35.44,Good Condition
75.4,0.62,0.21,27.27,72.84,12.35,Good Condition
86.54,0.56,0.35,2.35,65.0,21.17,Good Condition
73.88,0.43,0.41,12.1,66.94,24.4,Good Condition
29.29,0.3,0.17,40.46,90.52,10.39,Not Good
108.37,0.69,0.4,40.57,53.52,24.22,Not Good
42.12,0.39,0.1,23.77,85.54,5.8,Good Condition
3.65,0.44,0.19,30.12,98.33,11.31,Good Condition
96.82,0.85,0.57,37.7,60.81,33.96,Good Condition
26.57,0.72,0.45,42.93,92.89,26.89,Not Good
141.07,1.3,0.96,19.49,45.66,57.35,Good Condition
143.09,1.16,0.96,23.08,38.09,57.78,Good Condition
137.23,0.84,0.5,15.78,43.07,30.19,Good Condition
55.52,0.46,0.38,-1.4,81.5,22.52,Not Good
2.32,0.34,0.0,16.14,94.26,0.0,Good Condition
139.25,1.04,0.66,34.53,44.75,39.34,Good Condition
64.23,0.48,0.32,35.24,76.59,19.4,Good Condition
145.0,1.24,0.94,39.62,43.22,56.53,Good Condition
144.54,1.14,0.87,-2.43,44.79,51.91,Not Good
127.95,0.51,0.53,21.36,51.08,31.73,Good Condition
44.17,0.57,0.31,0.37,84.25,18.73,Good Condition
57.76,0.2,0.15,5.04,80.11,9.23,Good Condition
127.67,1.12,0.71,40.01,50.39,42.58,Not Good
47.54,0.55,0.16,19.84,80.01,9.32,Good Condition
25.42,0.11,0.06,32.93,89.55,3.64,Good Condition
83.52,0.54,0.53,-1.78,68.76,31.95,Not Good
140.42,0.82,0.58,15.84,47.59,34.9,Good Condition
104.4,0.94,0.85,28.71,55.96,51.19,Good Condition
85.51,0.12,0.11,1.67,64.22,6.77,Good Condition
14.58,0.27,0.0,11.29,98.48,0.0,Good Condition
92.25,0.66,0.52,-1.77,63.88,31.06,Not Good
148.51,0.86,0.9,27.57,37.39,54.29,Good Condition
21.01,0.46,0.06,43.54,93.23,3.63,Not Good
77.75,0.78,0.36,36.35,73.81,21.71,Good Condition
131.61,1.07,0.77,43.73,50.59,46.01,Not Good
111.12,0.89,0.53,37.28,58.01,31.9,Good Condition
104.55,0.79,0.76,37.76,55.26,45.73,Good Condition
105.37,0.74,0.67,23.86,61.61,40.49,Good Condition
53.92,0.45,0.38,20.91,78.69,23.09,Good Condition
44.04,0.41,0.03,15.31,86.28,1.6,Good Condition
121.4,1.03,0.62,35.9,49.74,37.25,Good Condition
121.52,0.88,0.58,4.1,47.01,35.08,Good Condition
130.06,0.91,0.52,-2.19,47.74,31.26,Not Good
136.99,1.03,0.79,42.39,42.9,47.58,Not Good
76.7,0.44,0.28,-4.81,71.47,16.55,Not Good
75.23,0.63,0.47,43.84,74.48,27.97,Not Good
119.74,0.44,0.45,31.44,54.01,26.72,Good Condition
97.49,0.71,0.77,11.42,64.87,46.43,Good Condition
105.3,0.69,0.39,29.89,57.41,23.1,Good Condition
119.37,0.81,0.66,35.89,54.97,39.47,Good Condition
133.5,1.03,0.84,7.27,50.03,50.55,Good Condition
50.7,0.39,0.13,33.54,81.83,7.63,Good Condition
56.34,0.49,0.39,35.22,77.54,23.67,Good Condition
14.1,0.24,0.0,7.47,95.62,0.0,Good Condition
86.74,0.83,0.67,-2.9,67.31,39.93,Not Good
5.39,0.21,0.02,5.21,95.37,1.05,Good Condition
69.84,0.61,0.23,5.03,75.16,13.63,Good Condition
81.4,0.53,0.34,-1.74,71.94,20.55,Not Good
42.98,0.59,0.32,31.3,82.46,19.03,Good Condition
88.62,0.75,0.34,14.0,66.56,20.23,Good Condition
4.58,0.43,0.0,39.22,100.0,0.0,Good Condition
5.6,0.45,0.0,7.61,99.38,0.0,Good Condition
123.39,0.54,0.45,17.66,51.12,27.02,Good Condition
54.03,0.51,0.54,26.95,82.21,32.6,Good Condition
19.06,0.13,0.0,38.87,91.87,0.0,Good Condition
78.34,0.6,0.51,21.23,64.28,30.8,Good Condition
115.5,1.02,0.63,13.68,57.25,37.93,Good Condition
32.37,0.32,0.0,38.35,88.79,0.0,Good Condition
93.43,0.46,0.46,10.51,66.12,27.72,Good Condition
12.8,0.22,0.17,-1.03,91.26,10.4,Not Good
7.75,0.08,0.0,17.25,92.21,0.0,Good Condition
79.7,0.84,0.58,34.25,72.46,34.89,Good Condition
81.1,0.87,0.56,-3.46,64.04,33.66,Not Good
95.61,1.0,0.63,24.29,64.85,37.75,Good Condition
108.91,0.9,0.48,24.72,59.67,28.8,Good Condition
146.38,0.65,0.61,41.43,43.54,36.82,Not Good
77.45,0.4,0.27,9.32,65.33,16.04,Good Condition
48.44,0.34,0.24,8.94,82.3,14.59,Good Condition
119.28,0.82,0.71,17.02,56.18,42.7,Good Condition
40.62,0.46,0.0,12.85,83.01,0.0,Good Condition
65.85,0.56,0.3,31.82,72.8,18.18,Good Condition
11.77,0.43,0.06,27.09,94.72,3.89,Good Condition
3.8,0.25,0.0,32.95,94.3,0.0,Good Condition
144.4,0.91,1.0,36.0,46.16,59.76,Good Condition
125.4,0.69,0.73,41.15,53.53,43.77,Not Good
104.4,0.94,0.75,16.55,63.22,44.84,Good Condition
61.34,0.58,0.24,44.23,76.31,14.61,Not Good
25.99,0.34,0.26,5.78,92.11,15.36,Good Condition
23.47,0.69,0.36,30.72,87.64,21.64,Good Condition
37.54,0.74,0.37,21.7,86.66,22.42,Good Condition
82.38,0.4,0.22,35.85,68.54,12.97,Good Condition
107.19,0.83,0.5,18.84,61.14,30.22,Good Condition
99.03,0.6,0.44,34.2,63.7,26.34,Good Condition
41.99,0.57,0.26,41.51,87.59,15.53,Not Good
143.23,1.18,0.89,31.61,46.4,53.25,Good Condition
110.68,0.88,0.43,33.8,59.41,25.66,Good Condition
83.15,0.55,0.41,-1.64,62.38,24.83,Not Good
91.76,0.31,0.12,5.25,66.76,6.99,Good Condition
62.94,0.56,0.53,43.72,75.9,31.71,Not Good
37.16,0.16,0.07,29.66,83.94,4.07,Good Condition
53.4,0.57,0.25,23.07,74.21,14.76,Good Condition
113.68,0.94,0.53,13.35,56.31,32.06,Good Condition
2.16,0.37,0.2,-2.78,97.42,11.76,Not Good
17.41,0.09,0.0,13.46,92.71,0.0,Good Condition
6.9,0.16,0.02,19.95,99.06,1.05,Good Condition
6.11,0.23,0.0,5.57,100.0,0.0,Good Condition
128.32,0.69,0.6,3.66,51.93,36.12,Good Condition
105.55,0.86,0.82,20.42,57.29,49.42,Good Condition
71.13,0.54,0.19,24.3,70.43,11.15,Good Condition
14.68,0.16,0.18,7.0,91.53,10.73,Good Condition
73.74,0.64,0.41,24.37,69.23,24.48,Good Condition
71.02,0.89,0.54,40.02,67.7,32.61,Not Good
25.98,0.13,0.0,18.66,94.32,0.0,Good Condition
65.08,0.46,0.18,37.87,74.71,10.67,Good Condition
59.78,0.74,0.45,41.36,72.37,27.22,Not Good
92.38,0.8,0.53,-0.38,61.58,31.66,Not Good
95.26,0.42,0.22,-0.21,62.36,12.99,Not Good
6.8,0.17,0.0,18.8,97.61,0.0,Good Condition
56.19,0.7,0.32,24.41,72.88,18.96,Good Condition
93.88,0.92,0.61,16.29,66.96,36.32,Good Condition
75.47,0.38,0.25,11.32,67.57,14.71,Good Condition
128.47,0.23,0.19,27.05,43.77,11.57,Good Condition
98.8,0.56,0.58,-4.9,56.24,34.94,Not Good
24.44,0.05,0.0,43.4,91.03,0.0,Not Good
10.59,0.29,0.0,6.6,92.14,0.0,Good Condition
96.36,0.03,0.01,40.85,56.87,0.51,Not Good
3.98,0.3,0.15,0.45,97.21,8.77,Good Condition
87.87,0.78,0.45,6.9,66.08,27.1,Good Condition
141.03,0.8,0.72,6.74,39.7,43.28,Good Condition
86.32,0.97,0.65,44.81,63.6,39.16,Not Good
58.23,0.7,0.37,-4.77,75.89,22.12,Not Good
96.49,0.8,0.75,26.98,58.0,45.04,Good Condition
68.74,0.44,0.09,38.48,72.57,5.3,Good Condition
81.84,0.72,0.39,28.61,63.12,23.35,Good Condition
141.22,0.64,0.49,13.14,38.98,29.44,Good Condition
57.92,0.31,0.22,42.92,77.03,13.36,Not Good
144.18,0.92,0.74,39.68,39.81,44.27,Good Condition
135.8,1.21,0.83,16.7,41.63,49.78,Good Condition
29.37,0.43,0.12,23.67,87.49,7.38,Good Condition
10.4,0.21,0.14,43.38,99.99,8.23,Not Good
15.12,0.49,0.17,44.13,96.2,10.16,Not Good
2.73,0.54,0.37,17.49,100.0,21.95,Good Condition
14.17,0.3,0.0,37.37,98.05,0.0,Good Condition
102.45,0.69,0.36,10.1,63.75,21.62,Good Condition
10.68,0.33,0.08,13.59,98.36,4.52,Good Condition
47.85,0.47,0.07,3.24,81.95,4.42,Good Condition
126.73,1.18,0.91,5.46,47.96,54.87,Good Condition
3.49,0.31,0.0,27.84,95.42,0.0,Good Condition
122.17,0.57,0.54,20.54,53.0,32.67,Good Condition
42.28,0.51,0.1,6.56,88.04,6.01,Good Condition
17.72,0.63,0.18,15.15,92.58,10.96,Good Condition
104.51,0.52,0.5,13.66,60.43,30.2,Good Condition
94.34,0.57,0.36,44.37,62.21,21.69,Not Good
131.62,1.01,0.98,37.68,46.67,58.57,Good Condition
110.26,0.76,0.42,14.4,55.0,25.33,Good Condition
120.52,0.93,0.63,40.7,51.84,38.07,Not Good
42.31,0.33,0.29,12.13,81.75,17.26,Good Condition
26.62,0.44,0.0,28.4,91.84,0.0,Good Condition
112.59,0.68,0.66,43.33,58.71,39.56,Not Good
121.03,0.81,0.46,14.51,55.42,27.35,Good Condition
148.58,1.08,0.95,28.99,37.85,56.7,Good Condition
61.89,0.27,0.12,9.8,79.2,7.32,Good Condition
55.8,0.41,0.36,8.32,76.09,21.9,Good Condition
116.46,0.79,0.79,23.71,51.51,47.25,Good Condition
51.12,0.66,0.37,43.96,81.82,22.09,Not Good
139.61,0.99,0.79,17.66,42.2,47.5,Good Condition
128.76,0.64,0.64,41.88,44.02,38.51,Not Good
64.35,0.24,0.2,40.72,73.0,12.0,Not Good
112.63,0.78,0.82,7.69,57.16,49.48,Good Condition
113.18,0.79,0.47,15.09,53.0,27.98,Good Condition
15.47,0.36,0.0,27.17,95.11,0.0,Good Condition
135.38,0.78,0.83,20.9,47.45,50.01,Good Condition
75.79,0.48,0.23,-0.2,72.02,13.65,Not Good
123.97,0.48,0.49,44.68,54.38,29.51,Not Good
48.01,0.45,0.0,32.63,80.12,0.0,Good Condition
134.33,1.03,0.64,16.88,42.93,38.12,Good Condition
58.38,0.57,0.25,25.91,74.84,14.97,Good Condition
1.63,0.5,0.04,-0.62,98.67,2.65,Not Good
135.81,1.2,0.88,19.77,47.82,53.03,Good Condition
13.69,0.53,0.13,41.54,89.65,8.04,Not Good
47.9,0.44,0.18,39.83,79.0,10.55,Good Condition
142.51,0.81,0.74,11.87,45.79,44.13,Good Condition
142.59,0.88,0.85,21.57,44.67,51.24,Good Condition
86.02,0.73,0.63,29.87,67.91,37.88,Good Condition
94.78,0.76,0.49,12.0,65.21,29.53,Good Condition
67.27,0.3,0.23,-1.76,75.93,14.04,Not Good
43.98,0.15,0.02,20.27,84.23,1.32,Good Condition
49.3,0.23,0.0,25.08,79.68,0.0,Good Condition
100.88,0.67,0.62,-4.71,64.48,37.12,Not Good
112.86,0.9,0.68,-0.22,55.55,40.63,Not Good
118.74,1.1,0.71,5.36,49.53,42.81,Good Condition
118.44,0.91,0.59,12.4,50.55,35.64,Good Condition
13.68,0.59,0.28,22.05,96.46,16.84,Good Condition
74.16,0.53,0.27,9.69,74.58,16.22,Good Condition
8.63,0.41,0.19,8.81,93.33,11.15,Good Condition
82.43,0.45,0.39,38.47,62.85,23.52,Good Condition
66.23,0.63,0.21,2.25,77.32,12.3,Good Condition
133.16,0.85,0.81,19.77,50.89,48.43,Good Condition
52.64,0.32,0.3,42.64,76.71,18.05,Not Good
17.56,0.48,0.12,26.25,91.75,7.31,Good Condition
21.45,0.17,0.09,30.86,93.02,5.56,Good Condition
114.23,0.71,0.58,16.56,52.61,34.98,Good Condition
92.73,0.79,0.86,-4.0,66.68,51.42,Not Good
15.17,0.29,0.25,27.31,90.01,14.98,Good Condition
12.62,0.23,0.16,26.6,90.33,9.74,Good Condition
105.15,0.52,0.55,0.52,55.03,33.13,Good Condition
10.91,0.51,0.2,18.11,93.5,12.18,Good Condition
123.28,1.08,0.73,40.77,46.82,43.93,Not Good
105.94,0.68,0.54,5.25,53.28,32.56,Good Condition
12.2,0.44,0.0,18.05,97.68,0.0,Good Condition
12.73,0.13,0.03,18.06,91.55,1.73,Good Condition
148.0,0.41,0.28,35.54,44.94,16.54,Good Condition
56.14,0.33,0.29,36.23,76.22,17.18,Good Condition
55.6,0.46,0.17,32.96,79.47,10.02,Good Condition
121.92,1.02,0.9,13.27,48.49,54.16,Good Condition
142.09,1.0,0.77,-1.4,40.57,46.14,Not Good
147.9,0.93,0.61,12.47,41.59,36.32,Good Condition
113.01,0.79,0.57,28.99,55.4,34.41,Good Condition
56.44,0.38,0.08,30.14,80.11,4.71,Good Condition
12.53,0.58,0.12,43.25,97.57,7.23,Not Good
116.57,0.74,0.65,17.68,55.08,39.14,Good Condition
83.76,0.69,0.57,26.62,65.99,33.95,Good Condition
63.63,0.5,0.16,21.96,78.45,9.61,Good Condition
135.95,0.96,0.73,2.53,46.84,43.92,Good Condition
16.68,0.09,0.0,18.06,98.23,0.0,Good Condition
73.89,0.61,0.47,22.24,73.64,27.98,Good Condition
1.7,0.32,0.09,42.54,94.76,5.42,Not Good
70.3,0.58,0.41,13.33,70.09,24.71,Good Condition
8.45,0.11,0.03,44.0,97.34,1.57,Not Good
17.82,0.58,0.13,22.12,95.09,7.95,Good Condition
17.63,0.68,0.33,7.12,93.45,19.8,Good Condition
97.38,0.64,0.44,4.58,63.91,26.35,Good Condition
111.91,0.88,0.6,2.08,53.06,35.89,Good Condition
87.51,0.67,0.25,17.65,61.84,14.82,Good Condition
