Pack Voltage (V),Pack Current (A),Pack Power (W),SoC (%),SoH (%),Battery Temp (°C),Battery Status
304.13,-92.39,-28099.17,37.99,74.76,44.83,Non-Healthy
409.12,50.01,20458.25,64.65,89.25,30.12,Healthy
331.05,37.01,12253.57,81.13,91.51,22.17,Healthy
379.5,30.74,11666.2,69.55,87.48,50.03,Non-Healthy
337.41,-3.06,-1033.89,38.57,74.3,30.98,Non-Healthy
362.41,8.6,3115.62,20.08,83.36,26.85,Non-Healthy
365.61,-49.67,-18158.6,80.57,80.65,38.06,Non-Healthy
322.18,5.79,1866.66,98.82,84.87,51.86,Non-Healthy
416.35,-90.73,-37776.79,84.79,96.11,21.52,Healthy
393.02,91.55,35981.52,56.82,93.28,46.8,Healthy
412.74,-94.27,-38907.71,92.3,72.52,40.04,Non-Healthy
407.38,-124.51,-50722.84,52.79,96.71,34.89,Healthy
371.75,-19.13,-7110.12,61.99,84.15,46.04,Non-Healthy
410.62,47.49,19501.49,58.17,92.32,53.8,Non-Healthy
310.62,-18.68,-5803.9,55.81,74.2,28.02,Non-Healthy
323.52,-66.97,-21667.21,82.02,90.12,25.03,Healthy
305.43,17.45,5330.12,62.14,77.09,51.95,Non-Healthy
339.04,-45.9,-15561.68,45.34,83.15,43.41,Non-Healthy
346.64,129.86,45014.94,40.65,70.51,35.33,Non-Healthy
332.56,126.79,42166.7,23.02,74.55,40.06,Non-Healthy
399.45,0.71,284.23,66.66,72.76,46.1,Non-Healthy
342.81,-51.63,-17700.95,38.4,77.19,47.06,Non-Healthy
333.71,71.14,23740.19,31.85,73.0,52.2,Non-Healthy
365.12,-138.99,-50747.1,72.31,90.76,34.94,Healthy
316.91,-7.57,-2398.79,74.5,70.87,30.27,Non-Healthy
396.26,-49.1,-19457.73,80.17,88.53,42.39,Healthy
308.95,126.16,38976.87,60.29,74.22,34.55,Non-Healthy
418.43,-146.4,-61257.25,91.52,98.35,40.81,Healthy
392.67,15.84,6221.64,94.91,97.99,34.7,Healthy
323.85,72.2,23381.37,84.59,76.77,25.35,Non-Healthy
300.66,-4.49,-1351.36,70.85,88.43,36.43,Healthy
397.86,-124.38,-49484.89,44.3,70.84,44.18,Non-Healthy
384.82,141.74,54544.19,98.64,97.95,47.97,Healthy
387.48,5.4,2093.61,41.93,85.69,37.27,Healthy
392.55,34.26,13447.23,36.21,71.3,25.78,Non-Healthy
308.89,-79.02,-24407.21,55.37,80.27,34.51,Non-Healthy
343.02,-4.95,-1698.13,24.55,72.31,47.52,Non-Healthy
313.9,-21.26,-6672.08,98.28,81.79,34.45,Non-Healthy
403.57,-127.53,-51468.09,67.07,90.1,44.38,Healthy
374.8,-118.15,-44282.83,64.56,84.1,37.75,Non-Healthy
339.71,101.24,34392.61,72.46,81.51,28.44,Non-Healthy
307.63,-78.05,-24011.52,59.76,73.57,47.87,Non-Healthy
337.32,-91.51,-30868.81,22.57,77.35,22.95,Non-Healthy
339.02,1.47,499.53,68.98,73.0,38.37,Non-Healthy
387.55,80.62,31246.11,77.29,94.22,27.31,Healthy
376.51,-131.42,-49479.05,53.34,74.06,22.35,Non-Healthy
406.47,23.04,9365.93,80.58,87.86,37.6,Healthy
356.67,-114.24,-40744.38,38.16,80.28,37.48,Non-Healthy
314.35,-139.06,-43714.22,37.7,76.78,44.74,Non-Healthy
385.59,-134.18,-51737.15,32.91,89.18,46.07,Healthy
391.29,100.25,39226.94,49.76,83.71,45.47,Non-Healthy
367.35,-114.61,-42101.72,87.76,82.0,34.33,Non-Healthy
392.52,-136.45,-53560.62,86.23,87.79,42.11,Healthy
359.26,-18.63,-6692.94,50.63,84.74,40.19,Non-Healthy
362.73,103.2,37432.81,67.13,79.1,34.75,Non-Healthy
351.3,-71.28,-25040.13,77.67,86.77,40.9,Healthy
303.05,-23.49,-7117.5,39.3,90.08,53.15,Non-Healthy
312.95,-138.02,-43193.95,33.45,70.8,26.75,Non-Healthy
303.77,-15.28,-4640.55,97.77,83.98,51.7,Non-Healthy
376.37,23.28,8763.35,69.4,71.73,21.87,Non-Healthy
337.72,21.27,7184.08,98.51,75.59,30.79,Non-Healthy
361.03,-50.27,-18149.62,47.02,86.82,30.09,Healthy
408.91,-55.34,-22628.99,76.24,95.99,41.92,Healthy
329.92,-118.01,-38934.24,37.81,96.48,24.59,Healthy
349.25,-39.96,-13956.04,40.9,72.1,50.88,Non-Healthy
390.67,-120.15,-46939.16,60.95,82.57,49.0,Non-Healthy
327.46,79.98,26189.51,45.57,87.49,42.82,Healthy
309.24,139.88,43256.86,33.41,74.41,36.04,Non-Healthy
334.77,141.02,47210.07,41.03,92.96,52.65,Non-Healthy
319.35,109.52,34975.26,22.86,92.33,49.08,Healthy
411.56,30.24,12444.72,76.35,97.1,37.48,Healthy
396.97,60.26,23921.56,59.37,70.25,44.57,Non-Healthy
376.01,-64.44,-24229.33,27.54,76.5,39.84,Non-Healthy
404.58,39.23,15871.94,33.74,94.82,40.58,Healthy
396.44,-13.31,-5274.7,28.2,90.12,31.58,Healthy
322.39,-5.39,-1739.22,69.01,96.83,36.17,Healthy
407.11,77.33,31482.8,27.54,71.72,22.73,Non-Healthy
364.72,-65.42,-23861.69,80.34,87.91,32.51,Healthy
396.89,-54.59,-21665.63,21.64,87.07,44.35,Healthy
407.53,127.39,51916.4,39.95,71.07,53.36,Non-Healthy
338.16,-133.13,-45020.21,91.25,85.41,53.71,Non-Healthy
313.21,-4.31,-1349.83,77.48,88.29,39.45,Healthy
327.35,123.84,40539.38,25.84,75.74,41.23,Non-Healthy
351.25,33.11,11629.6,85.69,78.2,26.5,Non-Healthy
398.16,13.92,5543.26,59.44,89.21,44.34,Healthy
403.29,-75.08,-30277.53,87.74,84.05,22.47,Non-Healthy
300.83,-47.02,-14144.43,68.06,95.74,29.96,Healthy
361.29,105.61,38157.44,74.55,80.27,43.39,Non-Healthy
350.09,17.77,6219.49,99.48,78.0,30.86,Non-Healthy
326.65,4.42,1444.67,38.59,99.55,21.74,Healthy
314.38,-120.13,-37765.7,69.92,97.33,49.12,Healthy
340.51,-145.19,-49439.73,56.83,70.87,30.86,Non-Healthy
413.15,139.11,57471.34,23.16,93.12,22.21,Healthy
338.78,-36.9,-12502.55,21.16,73.31,22.62,Non-Healthy
362.25,30.96,11216.83,29.54,70.82,28.81,Non-Healthy
384.36,-126.09,-48462.5,71.93,78.21,26.23,Non-Healthy
343.64,54.93,18877.37,65.37,78.08,47.1,Non-Healthy
416.61,129.77,54063.98,64.27,94.58,31.26,Healthy
415.49,22.7,9431.53,22.55,91.32,48.16,Healthy
330.21,-112.17,-37038.57,57.54,99.45,26.08,Healthy
359.67,24.52,8817.83,93.97,91.35,37.25,Healthy
336.11,79.9,26856.22,51.81,82.55,44.08,Non-Healthy
334.18,-28.08,-9382.14,69.99,90.97,42.82,Healthy
304.43,113.95,34689.8,82.39,99.98,41.04,Healthy
373.15,44.6,16644.21,82.71,91.3,52.37,Non-Healthy
360.32,119.77,43157.39,61.54,92.85,28.0,Healthy
306.18,37.05,11344.36,88.64,98.15,37.28,Healthy
333.44,-110.61,-36882.73,51.31,73.41,50.94,Non-Healthy
408.99,-57.09,-23350.36,91.1,91.14,22.73,Healthy
328.75,-89.46,-29410.24,39.22,95.52,21.96,Healthy
317.39,122.65,38926.91,42.42,98.63,28.17,Healthy
358.73,78.12,28024.33,24.25,76.33,42.16,Non-Healthy
418.28,52.92,22135.07,83.65,85.12,29.1,Healthy
329.05,-59.71,-19647.41,53.36,90.42,26.66,Healthy
380.66,-94.79,-36081.1,38.33,77.42,36.06,Non-Healthy
391.39,76.94,30112.05,38.54,88.01,41.48,Healthy
328.52,-7.75,-2546.86,92.11,77.73,28.7,Non-Healthy
387.39,-82.26,-31867.58,86.71,80.0,30.52,Non-Healthy
344.13,34.99,12040.08,64.28,83.25,41.47,Non-Healthy
375.88,-137.9,-51833.34,69.29,85.88,53.1,Non-Healthy
376.02,-52.15,-19609.22,57.95,83.48,43.62,Non-Healthy
364.29,-9.43,-3436.34,51.33,84.8,47.4,Non-Healthy
310.83,-105.61,-32828.04,93.24,78.96,32.84,Non-Healthy
400.24,145.4,58192.89,30.05,74.77,29.53,Non-Healthy
338.49,-87.27,-29540.6,53.48,71.42,35.9,Non-Healthy
322.38,-110.89,-35750.27,47.56,75.88,48.25,Non-Healthy
304.89,-88.94,-27117.04,59.85,87.46,35.97,Healthy
370.91,80.72,29939.01,56.61,93.58,49.64,Healthy
381.31,-22.35,-8521.58,61.51,75.08,54.61,Non-Healthy
301.99,19.62,5926.5,31.19,73.26,22.52,Non-Healthy
361.45,-143.7,-51939.54,61.05,92.48,21.59,Healthy
327.18,-139.67,-45697.36,39.39,79.15,25.24,Non-Healthy
377.42,-16.25,-6133.97,34.75,98.54,33.45,Healthy
320.92,95.0,30486.68,25.19,91.43,24.59,Healthy
382.91,115.57,44253.84,81.01,79.8,50.47,Non-Healthy
346.41,-123.99,-42950.48,54.2,78.69,20.81,Non-Healthy
412.41,11.51,4746.37,70.13,85.71,31.05,Healthy
316.5,123.97,39236.47,78.21,72.37,26.46,Non-Healthy
340.93,-33.61,-11457.97,74.35,73.53,52.6,Non-Healthy
313.62,98.87,31007.22,57.64,75.28,43.43,Non-Healthy
410.96,-109.89,-45161.29,51.03,93.24,51.92,Non-Healthy
405.28,130.62,52937.1,50.08,85.42,54.03,Non-Healthy
330.95,75.43,24962.79,71.2,70.32,37.4,Non-Healthy
379.2,132.4,50205.95,59.58,90.21,28.2,Healthy
398.07,52.99,21091.63,87.93,82.71,26.78,Non-Healthy
366.62,-40.98,-15023.82,89.98,85.33,27.8,Healthy
363.56,131.45,47791.29,33.64,76.42,44.8,Non-Healthy
329.02,-67.33,-22153.06,30.9,86.55,21.42,Healthy
311.17,-50.35,-15666.98,70.43,99.37,21.8,Healthy
407.67,60.24,24558.82,44.1,72.2,41.29,Non-Healthy
408.05,79.59,32478.71,21.49,78.52,42.47,Non-Healthy
375.97,128.82,48433.13,91.09,77.29,43.28,Non-Healthy
340.68,-88.56,-30170.69,38.15,77.46,33.02,Non-Healthy
341.91,89.4,30566.12,94.34,81.36,48.21,Non-Healthy
387.11,71.56,27703.4,77.39,94.54,38.68,Healthy
407.65,-130.86,-53346.17,81.01,97.39,23.69,Healthy
406.45,-33.83,-13751.46,36.12,76.07,47.9,Non-Healthy
393.59,-65.17,-25650.08,38.74,86.29,53.36,Non-Healthy
377.04,-58.65,-22114.7,61.7,89.11,22.1,Healthy
310.1,144.88,44928.08,33.77,85.65,33.7,Healthy
319.4,42.83,13680.74,44.43,83.02,37.06,Non-Healthy
407.83,65.3,26632.23,45.72,75.76,25.13,Non-Healthy
372.77,142.99,53300.84,32.77,84.65,50.37,Non-Healthy
301.1,-36.84,-11092.5,36.41,82.04,29.95,Non-Healthy
312.18,90.55,28268.23,83.08,93.87,47.41,Healthy
379.62,-19.64,-7456.01,33.38,92.91,43.48,Healthy
300.61,110.86,33325.37,22.28,74.02,40.93,Non-Healthy
319.3,-95.8,-30589.52,70.35,72.66,26.72,Non-Healthy
365.85,134.31,49135.54,98.08,97.24,27.72,Healthy
383.03,-84.37,-32315.44,46.5,86.07,21.66,Healthy
378.24,-52.13,-19718.86,29.49,95.73,28.42,Healthy
326.91,76.86,25125.72,65.63,71.74,32.09,Non-Healthy
385.46,-31.87,-12285.99,92.51,85.8,49.16,Healthy
328.47,32.46,10663.25,82.72,86.18,32.82,Healthy
339.05,-16.63,-5637.67,69.8,95.82,46.41,Healthy
389.58,72.71,28326.67,45.2,72.93,35.38,Non-Healthy
377.96,-81.5,-30803.65,63.35,77.21,47.47,Non-Healthy
401.91,-132.46,-53237.62,27.3,82.2,54.17,Non-Healthy
378.91,-60.02,-22742.84,74.32,95.98,28.39,Healthy
368.2,-7.71,-2837.84,78.01,98.17,50.18,Non-Healthy
311.24,-99.59,-30997.73,97.2,99.78,41.76,Healthy
344.13,-43.56,-14990.4,40.83,98.78,48.61,Healthy
331.82,-30.01,-9956.42,21.48,70.18,42.81,Non-Healthy
329.28,-132.78,-43722.44,63.65,71.43,34.84,Non-Healthy
416.76,24.99,10415.77,76.54,74.43,27.98,Non-Healthy
347.17,115.3,40029.95,83.23,80.47,22.45,Non-Healthy
407.05,-104.48,-42526.95,35.5,94.9,38.74,Healthy
375.74,29.34,11025.02,40.94,96.78,54.66,Non-Healthy
395.38,49.42,19540.25,61.01,75.61,45.83,Non-Healthy
360.32,-24.2,-8719.51,46.45,88.59,31.46,Healthy
369.23,60.33,22275.29,88.84,97.52,48.95,Healthy
359.1,-26.78,-9616.95,57.9,83.91,46.91,Non-Healthy
323.43,1.39,449.95,83.97,73.11,29.86,Non-Healthy
386.69,-147.79,-57151.12,66.45,83.73,20.5,Non-Healthy
333.69,57.52,19192.68,81.85,81.27,24.14,Non-Healthy
302.92,48.4,14662.08,46.61,87.33,50.71,Non-Healthy
377.46,-138.48,-52270.1,86.51,83.16,49.28,Non-Healthy
321.25,-39.52,-12697.53,41.97,70.52,30.33,Non-Healthy
412.86,143.71,59331.21,63.69,99.82,29.98,Healthy
414.47,-23.78,-9855.73,37.12,86.31,47.75,Healthy
409.78,0.58,239.16,58.04,84.21,52.82,Non-Healthy
344.42,122.98,42356.33,45.45,98.64,47.27,Healthy
301.85,65.18,19674.46,41.34,74.68,41.2,Non-Healthy
411.4,24.62,10129.05,97.36,75.68,28.49,Non-Healthy
351.38,89.34,31392.97,32.81,94.24,38.4,Healthy
416.0,109.31,45472.75,82.99,77.82,28.17,Non-Healthy
415.63,-12.93,-5375.64,98.73,93.98,48.28,Healthy
402.36,-7.47,-3004.63,21.59,78.15,33.54,Non-Healthy
335.33,-34.18,-11463.29,75.92,71.0,49.18,Non-Healthy
346.21,140.01,48473.74,40.23,85.51,33.36,Healthy
402.14,59.15,23786.32,23.24,75.9,48.85,Non-Healthy
338.03,-125.03,-42265.01,52.23,92.74,31.67,Healthy
320.34,108.89,34881.05,94.82,89.24,35.4,Healthy
366.82,-5.83,-2139.28,20.94,97.71,41.54,Healthy
412.34,-129.37,-53345.82,67.03,93.49,22.46,Healthy
383.52,14.92,5720.32,60.11,75.42,53.19,Non-Healthy
368.41,-24.85,-9155.19,89.87,94.0,40.08,Healthy
311.66,113.32,35318.95,26.72,89.25,37.77,Healthy
373.8,-88.8,-33194.12,74.52,90.07,49.38,Healthy
418.81,97.94,41017.65,74.41,94.97,50.3,Non-Healthy
316.81,17.31,5482.91,73.53,87.21,38.28,Healthy
362.2,-133.62,-48395.99,95.39,83.98,52.45,Non-Healthy
405.28,141.55,57369.51,85.85,89.1,22.27,Healthy
388.89,3.78,1471.79,23.36,78.94,23.96,Non-Healthy
383.64,-62.74,-24068.52,57.69,75.48,40.89,Non-Healthy
384.3,-9.18,-3527.07,51.84,88.5,32.39,Healthy
343.14,107.36,36838.48,44.81,77.02,36.25,Non-Healthy
335.23,-58.53,-19620.76,56.11,72.4,31.48,Non-Healthy
397.12,-92.2,-36613.61,50.74,70.02,34.17,Non-Healthy
397.21,-111.28,-44201.38,54.59,88.25,48.79,Healthy
404.05,-60.64,-24502.39,98.34,80.86,40.77,Non-Healthy
409.59,84.01,34411.37,27.09,92.57,54.91,Non-Healthy
361.36,-8.51,-3075.94,93.78,81.26,47.54,Non-Healthy
360.18,-81.76,-29446.86,58.42,84.58,29.58,Non-Healthy
395.8,-100.14,-39636.73,69.9,82.21,29.25,Non-Healthy
378.0,-50.18,-18968.26,86.41,89.52,31.76,Healthy
384.24,131.98,50710.44,48.84,80.68,49.51,Non-Healthy
395.5,-47.09,-18624.65,54.43,98.91,20.96,Healthy
406.8,146.44,59570.76,52.76,98.08,28.06,Healthy
340.56,-4.43,-1508.97,49.98,95.44,51.67,Non-Healthy
345.07,-96.25,-33213.27,94.04,97.61,42.4,Healthy
311.28,117.34,36525.97,86.31,83.47,27.94,Non-Healthy
369.39,-11.89,-4393.34,28.72,86.09,27.67,Healthy
304.31,62.9,19141.72,28.65,92.26,50.19,Non-Healthy
355.87,145.11,51641.79,54.23,90.88,51.28,Non-Healthy
365.12,-134.95,-49271.64,27.89,96.72,28.96,Healthy
334.38,-120.99,-40457.78,69.53,91.49,34.72,Healthy
370.9,66.14,24530.22,31.5,99.94,49.21,Healthy
303.66,-65.45,-19875.31,61.79,80.46,46.99,Non-Healthy
304.48,-94.71,-28837.34,20.58,94.99,48.49,Healthy
398.71,-138.19,-55098.59,45.33,90.93,38.14,Healthy
343.22,-143.45,-49233.94,74.18,90.74,51.9,Non-Healthy
315.25,82.35,25959.25,58.72,79.78,31.41,Non-Healthy
362.67,-109.67,-39773.92,98.26,93.57,25.48,Healthy
392.4,-9.68,-3799.92,89.93,97.01,44.81,Healthy
325.9,31.77,10353.48,48.73,76.56,38.88,Non-Healthy
374.75,-21.49,-8054.98,23.64,88.76,49.91,Healthy
310.24,-141.87,-44013.37,87.65,81.76,22.84,Non-Healthy
306.2,85.05,26042.6,92.9,99.69,49.53,Healthy
363.76,-146.85,-53417.09,85.65,84.36,30.27,Non-Healthy
364.88,78.57,28667.22,30.24,76.85,42.92,Non-Healthy
376.49,117.99,44422.75,99.83,81.46,21.4,Non-Healthy
387.13,-20.15,-7799.92,40.69,89.62,41.34,Healthy
417.1,10.66,4447.45,77.94,72.28,45.1,Non-Healthy
361.96,-6.9,-2499.3,92.64,88.11,32.91,Healthy
338.75,-33.24,-11259.33,38.85,97.94,27.54,Healthy
395.42,116.23,45958.9,92.66,95.51,38.82,Healthy
332.5,118.18,39294.85,44.76,72.03,49.16,Non-Healthy
352.68,-49.26,-17371.12,98.11,99.8,31.32,Healthy
309.41,34.52,10681.28,42.5,90.96,28.84,Healthy
303.04,128.07,38811.29,96.27,74.87,29.76,Non-Healthy
415.52,138.62,57598.06,24.28,70.37,53.22,Non-Healthy
400.32,2.69,1075.94,76.74,75.14,32.57,Non-Healthy
383.52,-14.15,-5427.75,62.57,95.15,20.13,Healthy
349.07,-66.39,-23175.64,58.23,70.65,47.36,Non-Healthy
320.8,137.66,44161.18,37.88,76.99,44.47,Non-Healthy
318.77,-107.16,-34158.29,76.45,92.72,24.5,Healthy
330.03,23.95,7903.83,35.26,87.58,54.47,Non-Healthy
365.91,-65.23,-23869.93,64.23,93.48,41.28,Healthy
385.75,-66.3,-25574.37,40.26,92.38,37.53,Healthy
379.22,-28.51,-10811.45,96.45,71.52,33.38,Non-Healthy
333.59,149.64,49918.01,22.29,96.78,51.45,Non-Healthy
414.58,-133.51,-55351.13,35.98,76.81,28.54,Non-Healthy
388.55,23.56,9155.17,39.38,86.6,30.0,Healthy
366.52,-125.23,-45899.01,53.13,89.33,24.28,Healthy
373.41,-103.64,-38701.25,38.62,75.06,46.57,Non-Healthy
350.35,-18.13,-6352.27,59.31,99.29,40.84,Healthy
329.73,3.14,1034.7,89.8,84.64,41.32,Non-Healthy
342.72,-72.36,-24799.76,76.97,71.73,27.65,Non-Healthy
390.94,-55.06,-21526.36,66.4,98.12,42.79,Healthy
301.73,-123.91,-37386.99,27.12,87.59,46.79,Healthy
313.93,-59.03,-18532.49,75.52,90.98,32.53,Healthy
305.52,139.97,42762.92,33.31,85.76,48.05,Healthy
304.89,133.41,40675.71,82.91,95.04,32.21,Healthy
402.66,-49.54,-19946.14,40.0,70.99,46.53,Non-Healthy
384.44,21.26,8171.7,53.36,78.05,21.18,Non-Healthy
356.9,122.88,43855.48,48.04,84.09,39.29,Non-Healthy
311.74,-148.14,-46182.69,88.71,72.3,53.93,Non-Healthy
358.99,93.21,33460.05,30.12,91.18,54.34,Non-Healthy
356.82,134.51,47995.71,65.25,81.81,29.86,Non-Healthy
320.78,-122.6,-39328.88,31.36,78.18,35.45,Non-Healthy
352.06,-101.57,-35757.44,76.38,70.1,22.2,Non-Healthy
347.82,138.22,48077.11,92.41,91.59,50.57,Non-Healthy
373.9,11.26,4210.9,54.77,95.01,39.9,Healthy
376.21,-145.74,-54829.41,59.05,81.85,33.48,Non-Healthy
305.44,-72.71,-22208.41,94.19,86.93,23.95,Healthy
344.95,-15.02,-5180.13,61.68,76.83,53.14,Non-Healthy
375.1,57.87,21708.22,59.01,88.67,38.56,Healthy
360.38,69.95,25207.65,66.27,70.36,29.9,Non-Healthy
402.78,148.63,59863.58,75.14,84.66,32.26,Non-Healthy
379.04,-63.75,-24162.73,28.55,89.33,29.47,Healthy
319.55,11.47,3663.99,85.69,97.55,41.06,Healthy
308.47,10.0,3083.78,54.84,81.44,52.55,Non-Healthy
377.09,-28.31,-10674.08,25.79,92.96,49.98,Healthy
303.18,-99.25,-30091.18,82.89,87.93,36.11,Healthy
370.29,143.24,53039.66,50.16,97.81,48.93,Healthy
412.83,106.0,43757.73,28.03,81.95,34.81,Non-Healthy
369.06,-0.5,-184.56,70.7,79.57,28.83,Non-Healthy
346.58,30.97,10734.85,90.41,96.61,54.42,Non-Healthy
377.19,-81.82,-30862.7,91.02,71.48,30.64,Non-Healthy
354.99,13.14,4663.2,96.61,74.09,31.33,Non-Healthy
365.47,58.49,21376.96,89.42,72.47,54.64,Non-Healthy
412.98,4.55,1879.08,20.17,95.29,24.69,Healthy
346.33,147.09,50940.48,50.42,70.32,46.62,Non-Healthy
415.34,33.4,13873.49,85.48,95.85,52.75,Non-Healthy
408.64,-38.71,-15817.67,49.3,83.54,37.91,Non-Healthy
323.49,81.65,26411.94,68.12,70.12,20.09,Non-Healthy
308.32,-98.86,-30481.23,68.51,82.05,33.13,Non-Healthy
312.09,-34.65,-10812.55,49.2,75.6,23.9,Non-Healthy
302.19,-45.91,-13874.09,92.36,88.73,34.57,Healthy
311.33,-20.46,-6369.21,60.26,90.38,47.65,Healthy
381.96,84.53,32288.66,57.18,84.63,35.35,Non-Healthy
308.54,-4.75,-1464.99,99.8,71.22,35.12,Non-Healthy
338.28,88.2,29837.5,59.48,89.68,39.49,Healthy
401.39,22.95,9210.45,34.27,95.26,40.36,Healthy
302.79,-47.38,-14346.06,61.05,91.61,49.97,Healthy
397.74,92.99,36986.93,85.12,94.9,30.79,Healthy
333.82,-78.51,-26209.44,82.15,76.02,48.76,Non-Healthy
314.18,-82.69,-25977.99,83.09,96.67,39.81,Healthy
383.61,1.35,518.21,76.64,79.67,30.52,Non-Healthy
375.47,-71.75,-26938.41,40.34,70.4,30.33,Non-Healthy
405.3,-147.27,-59689.61,88.97,95.3,32.64,Healthy
388.21,44.49,17271.11,91.48,98.25,41.79,Healthy
396.42,3.33,1319.34,35.53,89.67,28.08,Healthy
333.84,-16.34,-5456.57,30.44,76.94,52.21,Non-Healthy
321.29,140.09,45010.08,98.05,77.55,40.12,Non-Healthy
390.07,21.36,8331.88,89.47,84.0,52.2,Non-Healthy
396.82,109.03,43265.09,91.46,96.93,21.62,Healthy
418.86,-108.16,-45306.03,90.91,74.49,31.99,Non-Healthy
349.51,20.76,7256.59,63.33,94.78,20.8,Healthy
344.64,110.39,38046.39,71.71,78.74,29.53,Non-Healthy
393.17,24.93,9802.4,63.63,94.26,50.17,Non-Healthy
340.9,65.4,22296.08,24.1,97.61,21.28,Healthy
411.69,-38.39,-15803.55,79.64,82.82,35.27,Non-Healthy
403.01,-122.27,-49274.02,60.43,80.95,24.11,Non-Healthy
351.48,-12.63,-4439.15,71.82,94.07,34.59,Healthy
390.1,-31.66,-12349.22,60.21,85.88,49.36,Healthy
390.55,110.12,43006.07,59.34,90.53,41.81,Healthy
312.37,-76.8,-23990.83,33.74,88.68,45.79,Healthy
408.31,140.02,57171.16,42.3,74.59,32.22,Non-Healthy
360.63,137.44,49565.54,32.71,95.34,53.05,Non-Healthy
399.17,-75.71,-30221.73,35.65,75.87,44.82,Non-Healthy
338.41,-45.58,-15426.04,97.84,97.97,34.76,Healthy
407.46,118.67,48352.27,32.25,77.52,34.93,Non-Healthy
346.7,139.99,48533.97,41.54,92.02,52.15,Non-Healthy
301.3,-16.97,-5112.55,67.25,78.54,40.17,Non-Healthy
408.65,-53.7,-21944.64,68.81,79.53,44.72,Non-Healthy
310.95,7.83,2434.21,32.32,79.3,34.6,Non-Healthy
338.32,56.33,19057.69,83.5,92.44,27.83,Healthy
414.01,-67.96,-28134.97,82.82,86.7,45.32,Healthy
414.07,70.94,29375.14,38.99,96.49,41.27,Healthy
368.81,-134.5,-49606.32,43.09,79.22,37.55,Non-Healthy
375.82,-135.21,-50815.31,95.04,90.76,41.84,Healthy
353.81,-34.11,-12069.88,86.05,92.59,27.29,Healthy
335.19,-43.96,-14734.09,75.82,74.54,47.79,Non-Healthy
339.44,-55.31,-18774.42,26.58,82.02,53.19,Non-Healthy
380.7,-2.69,-1025.64,53.46,84.48,51.19,Non-Healthy
390.28,-53.78,-20989.5,64.74,80.67,31.25,Non-Healthy
394.99,-92.32,-36466.47,34.99,79.66,34.21,Non-Healthy
394.75,-57.16,-22563.81,55.86,90.59,48.29,Healthy
310.94,142.47,44300.69,68.08,76.48,40.83,Non-Healthy
359.33,-26.67,-9581.9,46.19,91.28,39.18,Healthy
